ICD9dx,CCS Category,CCS Category Description
'71608','204  ','Ot joint dx'
'71609','204  ','Ot joint dx'
'71620','204  ','Ot joint dx'
'71621','204  ','Ot joint dx'
'71622','204  ','Ot joint dx'
'71623','204  ','Ot joint dx'
'71624','204  ','Ot joint dx'
'71625','204  ','Ot joint dx'
'71626','204  ','Ot joint dx'
'71627','204  ','Ot joint dx'
'71628','204  ','Ot joint dx'
'71629','204  ','Ot joint dx'
'71630','204  ','Ot joint dx'
'71631','204  ','Ot joint dx'
'71632','204  ','Ot joint dx'
'71633','204  ','Ot joint dx'
'71634','204  ','Ot joint dx'
'71635','204  ','Ot joint dx'
'71636','204  ','Ot joint dx'
'71637','204  ','Ot joint dx'
'71638','204  ','Ot joint dx'
'71639','204  ','Ot joint dx'
'71640','204  ','Ot joint dx'
'71641','204  ','Ot joint dx'
'71642','204  ','Ot joint dx'
'71643','204  ','Ot joint dx'
'71644','204  ','Ot joint dx'
'71645','204  ','Ot joint dx'
'71646','204  ','Ot joint dx'
'71647','204  ','Ot joint dx'
'71648','204  ','Ot joint dx'
'71649','204  ','Ot joint dx'
'71650','204  ','Ot joint dx'
'71651','204  ','Ot joint dx'
'71652','204  ','Ot joint dx'
'71653','204  ','Ot joint dx'
'71654','204  ','Ot joint dx'
'71655','204  ','Ot joint dx'
'71656','204  ','Ot joint dx'
'71657','204  ','Ot joint dx'
'71658','204  ','Ot joint dx'
'71659','204  ','Ot joint dx'
'71660','204  ','Ot joint dx'
'71661','204  ','Ot joint dx'
'71662','204  ','Ot joint dx'
'71663','204  ','Ot joint dx'
'71664','204  ','Ot joint dx'
'71665','204  ','Ot joint dx'
'71666','204  ','Ot joint dx'
'71667','204  ','Ot joint dx'
'71668','204  ','Ot joint dx'
'71680','204  ','Ot joint dx'
'71681','204  ','Ot joint dx'
'71682','204  ','Ot joint dx'
'71683','204  ','Ot joint dx'
'71684','204  ','Ot joint dx'
'71685','204  ','Ot joint dx'
'71686','204  ','Ot joint dx'
'71687','204  ','Ot joint dx'
'71688','204  ','Ot joint dx'
'71689','204  ','Ot joint dx'
'71690','204  ','Ot joint dx'
'71691','204  ','Ot joint dx'
'71692','204  ','Ot joint dx'
'71693','204  ','Ot joint dx'
'71694','204  ','Ot joint dx'
'71695','204  ','Ot joint dx'
'71696','204  ','Ot joint dx'
'71697','204  ','Ot joint dx'
'71698','204  ','Ot joint dx'
'71699','204  ','Ot joint dx'
'71810','204  ','Ot joint dx'
'71811','204  ','Ot joint dx'
'71812','204  ','Ot joint dx'
'71813','204  ','Ot joint dx'
'71814','204  ','Ot joint dx'
'71815','204  ','Ot joint dx'
'71817','204  ','Ot joint dx'
'71818','204  ','Ot joint dx'
'71819','204  ','Ot joint dx'
'71820','204  ','Ot joint dx'
'71821','204  ','Ot joint dx'
'71822','204  ','Ot joint dx'
'71823','204  ','Ot joint dx'
'71824','204  ','Ot joint dx'
'71825','204  ','Ot joint dx'
'71826','204  ','Ot joint dx'
'71827','204  ','Ot joint dx'
'71828','204  ','Ot joint dx'
'71829','204  ','Ot joint dx'
'71850','204  ','Ot joint dx'
'71851','204  ','Ot joint dx'
'71852','204  ','Ot joint dx'
'71853','204  ','Ot joint dx'
'71854','204  ','Ot joint dx'
'71855','204  ','Ot joint dx'
'71856','204  ','Ot joint dx'
